0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
160	akse	1	2	0.11866730451583862	3	0	3	0	0	0
161	akse	1	2.a	0.2327527403831482	3	0	4	0	0	0
162	akse	2	2.a	0.18090909719467163	3	0	1	1	0	0
163	akt	1	1.a	0.2402680516242981	0	0	4	1	1	1
164	akt	1	2	0.5566027462482452	0	0	2	0	0	1
165	akt	1	3	0.5119485557079315	4	0	3	0	0	1
166	akt	1	3.a	0.637138694524765	3	0	3	0	0	1
167	akt	1.a	2	0.4823687672615051	0	0	2	0	1	1
168	akt	1.a	3	0.5299461185932159	0	0	1	0	1	1
169	akt	1.a	3.a	0.6144002377986908	0	0	1	0	1	1
170	akt	2	3	0.5119680464267731	0	0	1	0	0	1
171	akt	2	3.a	0.6629743874073029	0	0	1	0	0	1
172	akt	3	3.a	0.5720239579677582	2	0	0	1	0	1
173	aktiv	1	1.a	0.35335057973861694	0	0	12	1	0	0
174	aktiv	1	1.b	0.2751619815826416	0	0	1	1	0	0
175	aktiv	1	1.c	0.2889077663421631	0	0	9	1	0	1
176	aktiv	1.a	1.b	0.3819195032119751	0	0	11	1	0	0
177	aktiv	1.a	1.c	0.32390421628952026	0	0	3	1	0	1
178	aktiv	1.b	1.c	0.3713824152946472	0	0	8	1	0	1
179	aktivitet	1	2	0.09304046630859375	2	0	4	0	0	0
180	aktivitet	1	3	0.42048805952072144	2	0	4	0	0	1
181	aktivitet	2	3	0.43514955043792725	1	0	8	0	0	1
182	akut	1	1.a	0.16158366203308105	0	0	7	1	0	0
183	akvarium	1	1.a	0.2857796549797058	1	0	1	1	0	1
184	alarm	1	1.a	0.38124513626098633	0	0	0	1	0	0
185	alarm	1	2	0.33438724279403687	0	0	5	0	0	1
186	alarm	1	2.a	0.4175190329551697	0	0	0	0	1	1
187	alarm	1.a	2	0.4194127917289734	0	0	5	0	0	1
188	alarm	1.a	2.a	0.40021151304244995	0	0	0	0	1	1
189	alarm	2	2.a	0.3577880263328552	0	0	5	1	1	1
190	album	1	2	0.41409552097320557	1	0	8	0	0	1
191	album	1	3	0.3536463975906372	0	0	1	0	0	0
192	album	2	3	0.32799607515335083	0	0	7	0	0	1
193	alder	1	1.a	0.4412379860877991	2	0	16	1	0	0
194	alder	1	1.b	0.3626769185066223	0	0	13	1	0	0
195	alder	1	2	0.1756507158279419	2	0	20	0	0	1
196	alder	1.a	1.b	0.3414863348007202	0	0	3	1	0	0
197	alder	1.a	2	0.3804062008857727	2	0	4	0	0	1
198	alder	1.b	2	0.37802213430404663	0	0	7	0	0	1
199	alderdom	1	1.a	0.2866296172142029	0	0	5	1	0	0
200	alene	1	1.a	0.5911402106285095	0	0	15	1	0	0
201	alkohol	1	2	0.1855463981628418	2	0	2	0	0	1
202	alkoholfri	1	2	0.1960182785987854	0	0	1	0	0	0
203	alt	1	2	0.18260186910629272	0	0	1	0	0	1
204	alter	1	1.a	0.26577484607696533	0	0	0	1	1	0
205	alter	1	2	0.25900518894195557	2	0	0	0	0	1
206	alter	1.a	2	0.2604527473449707	0	0	0	0	1	1
207	aluminium	1	1.a	0.3742421269416809	1	0	1	1	0	1
208	alvor	1	2	0.17383742332458496	2	0	2	0	0	1
209	alvorlig	1	1.a	0.4352514147758484	1	0	17	1	0	1
210	alvorlig	1	2	0.39347022771835327	1	0	17	0	0	1
211	alvorlig	1	3	0.37922197580337524	0	0	14	0	0	1
212	alvorlig	1.a	2	0.4862016439437866	1	0	0	0	0	1
213	alvorlig	1.a	3	0.5073102116584778	0	0	3	0	0	1
214	alvorlig	2	3	0.38841891288757324	0	0	3	0	0	0
215	amatør	1	2	0.18269914388656616	2	0	1	0	0	1
216	ambassade	1	1.a	0.4251874089241028	1	0	2	1	0	1
217	ambitiøs	1	1.a	0.27507221698760986	0	0	3	1	0	0
218	amputere	1	1.a	0.20345443487167358	2	0	3	1	1	1
219	analyse	1	2	0.2774299383163452	2	0	11	0	0	1
220	anbefale	1	1.a	0.2726747989654541	0	1	4	1	0	0
221	anbefaling	1	2	0.2304425835609436	2	0	4	0	0	1
222	anbringe	1	1.a	0.3973765969276428	1	0	4	1	0	1
223	anbringe	1	1.b	0.29822230339050293	0	0	1	1	1	1
224	anbringe	1	2	0.30648237466812134	4	0	1	0	0	1
225	anbringe	1.a	1.b	0.41490864753723145	0	0	5	1	1	1
226	anbringe	1.a	2	0.3060072064399719	1	0	5	0	0	1
227	anbringe	1.b	2	0.3482443690299988	0	0	0	0	1	1
228	and	1	1.a	0.3567935824394226	2	0	3	1	0	1
229	andel	1	1.a	0.4374760389328003	2	0	1	1	0	1
230	andel	1	2	0.5103453993797302	1	0	1	0	0	1
231	andel	1.a	2	0.523186206817627	1	0	2	0	0	1
232	anderledes	1	1.a	0.20209473371505737	0	0	8	1	0	0
233	anerkende	1	1.a	0.3540934920310974	0	0	6	1	0	0
234	anerkende	1	1.b	0.3379901051521301	0	0	8	1	0	0
235	anerkende	1	2	0.35139673948287964	0	0	1	0	0	1
236	anerkende	1.a	1.b	0.2760969400405884	0	0	2	1	0	0
237	anerkende	1.a	2	0.47065889835357666	0	0	7	0	0	1
238	anerkende	1.b	2	0.35361146926879883	2	0	9	0	0	1
239	anerkendelse	1	2	0.5171220302581787	2	0	5	0	0	1
240	anerkendelse	1	2.a	0.4669015407562256	0	0	7	0	0	1
241	anerkendelse	2	2.a	0.2879713177680969	0	0	2	1	0	0
242	angreb	1	1.a	0.3858867287635803	1	0	3	1	1	1
243	angreb	1	1.b	0.2702125310897827	0	0	9	1	1	1
244	angreb	1	2	0.40045154094696045	0	0	9	0	0	1
245	angreb	1	3	0.38077157735824585	0	0	9	0	0	1
246	angreb	1	4	0.3959333896636963	0	0	7	0	0	1
247	angreb	1.a	1.b	0.3981572985649109	0	0	6	1	2	0
248	angreb	1.a	2	0.35925114154815674	0	0	6	0	1	1
249	angreb	1.a	3	0.3847331404685974	0	0	6	0	1	1
250	angreb	1.a	4	0.41768503189086914	0	0	4	0	1	1
251	angreb	1.b	2	0.39829516410827637	0	0	0	0	1	1
252	angreb	1.b	3	0.18476468324661255	0	0	0	0	1	1
253	angreb	1.b	4	0.3387823700904846	0	0	2	0	1	1
254	angreb	2	3	0.46376466751098633	0	0	0	0	0	1
255	angreb	2	4	0.4879262447357178	0	0	2	0	0	1
256	angreb	3	4	0.1980983018875122	0	0	2	0	0	1
257	anke	1	2	0.099506676197052	4	0	6	0	0	1
258	anklage	1	1.a	0.2744417190551758	0	0	1	1	0	1
259	anklage	1	1.a	0.28957509994506836	0	0	5	1	0	1
260	anledning	1	2	0.3130512833595276	1	0	3	0	0	1
261	anledning	1	2.a	0.5152724385261536	1	0	8	0	0	1
262	anledning	2	2.a	0.4666157364845276	1	0	11	1	0	0
263	anlæg	1	2	0.3381772041320801	1	0	6	0	0	1
264	anlæg	1	2.a	0.36290597915649414	1	0	9	0	0	1
265	anlæg	1	3	0.3349335789680481	0	0	6	0	0	1
266	anlæg	1	4	0.5283979773521423	0	0	3	0	0	1
267	anlæg	1	5	0.4943540096282959	2	0	9	0	0	1
268	anlæg	2	2.a	0.09250277280807495	3	0	3	1	0	0
269	anlæg	2	3	0.3406796455383301	0	0	0	0	0	1
270	anlæg	2	4	0.4614417552947998	0	0	3	0	0	1
271	anlæg	2	5	0.521972119808197	1	0	3	0	0	1
272	anlæg	2.a	3	0.4401560425758362	0	0	3	0	0	1
273	anlæg	2.a	4	0.49889934062957764	0	0	6	0	0	1
274	anlæg	2.a	5	0.561821699142456	1	0	0	0	0	1
275	anlæg	3	4	0.4926695227622986	0	0	3	0	0	1
276	anlæg	3	5	0.5394083857536316	0	0	3	0	0	1
277	anlæg	4	5	0.669683575630188	0	0	6	0	0	1
278	anmeldelse	1	2	0.3909692168235779	0	0	3	0	0	1
279	anmodning	1	1.a	0.21325910091400146	0	0	6	1	0	0
280	anonym	1	1.a	0.3720058798789978	0	0	9	1	0	0
281	anseelse	1	1.a	0.01716434955596924	0	1	4	1	0	0
282	ansigt	1	1.a	0.38593971729278564	0	0	5	1	0	1
283	ansigt	1	1.b	0.3176489472389221	0	0	10	1	1	1
284	ansigt	1	2	0.44962942600250244	0	0	8	0	0	1
285	ansigt	1	2.a	0.4496452212333679	0	0	9	0	0	1
286	ansigt	1	3	0.42651301622390747	0	0	7	0	0	1
287	ansigt	1	3.a	0.4993094801902771	0	0	7	0	0	1
288	ansigt	1.a	1.b	0.35650306940078735	0	0	5	1	1	1
289	ansigt	1.a	2	0.31559717655181885	0	0	3	0	0	1
290	ansigt	1.a	2.a	0.26363134384155273	0	0	4	0	0	1
291	ansigt	1.a	3	0.2702410817146301	0	0	2	0	0	1
292	ansigt	1.a	3.a	0.28158068656921387	0	0	2	0	0	1
293	ansigt	1.b	2	0.42851901054382324	0	0	2	0	1	1
294	ansigt	1.b	2.a	0.43018776178359985	0	0	1	0	1	1
