0	lemma	bet_1	bet_2	cosine	onto	frame	score	main_sense	figurative	label
1207	effektiv	1	1.a	0.3771679401397705	0	0	0	1	0	0
1208	effektiv	1	2	0.4052220582962036	0	0	6	0	0	1
1209	effektiv	1.a	2	0.30065470933914185	0	0	6	0	0	1
1210	efterlade	1	1.a	0.4062100648880005	0	0	6	1	1	1
1211	efterlade	1	2	0.7872255593538284	1	0	3	0	0	1
1212	efterlade	1	2.a	0.5315140187740326	1	1	3	0	0	1
1213	efterlade	1.a	2	0.7322781085968018	0	0	9	0	1	1
1214	efterlade	1.a	2.a	0.3982282280921936	0	0	9	0	1	1
1215	efterlade	2	2.a	0.49705225229263306	1	0	0	1	0	0
1216	efterretningstjeneste	1	2	0.17871522903442383	0	0	8	0	0	1
1217	eg	1	1.a	0.7898442447185516	0	0	2	1	0	1
1218	egen	1	1.a	0.4210139513015747	0	0	19	1	0	0
1219	egen	1	2	0.43927615880966187	0	0	11	0	0	1
1220	egen	1	2.a	0.2948508858680725	0	0	22	0	0	1
1221	egen	1.a	2	0.24027270078659058	0	0	8	0	0	1
1222	egen	1.a	2.a	0.15415716171264648	0	0	3	0	0	1
1223	egen	2	2.a	0.19710004329681396	0	0	11	1	0	0
1224	egentlig	1	2	0.30816197395324707	0	0	2	0	0	1
1225	egentlig	1	1.b	0.3748679757118225	0	0	2	1	0	0
1226	eje	1	2	0.5938414931297302	5	0	4	0	0	1
1227	eje	1	2	0.32074153423309326	0	0	10	0	0	1
1228	eje	1	3	0.4377442002296448	0	0	12	0	0	1
1229	eje	2	3	0.38153183460235596	0	0	2	0	0	1
1230	ejendom	1	1.a	0.2248196005821228	1	0	16	1	0	0
1231	ejendom	1	2	0.10937058925628662	2	0	14	0	0	1
1232	ejendom	1.a	2	0.2746390700340271	1	0	2	0	0	1
1233	ekko	1	1.a	0.5931745767593384	0	0	0	1	1	1
1234	eksamen	1	1.a	0.2786140441894531	3	0	9	1	0	1
1235	eksempel	1	2	0.34085506200790405	1	0	4	0	0	1
1236	eksempel	1	2.a	0.38057243824005127	0	0	15	0	0	1
1237	eksempel	2	2.a	0.4296457767486572	0	0	11	1	0	0
1238	eksercits	1	1.a	0.6452204883098602	0	0	0	1	1	1
1239	eksklusiv	1	2	0.5886029303073883	0	0	3	0	0	1
1240	eksotisk	1	1.a	0.26535022258758545	1	0	5	1	1	1
1241	ekspedition	1	1.a	0.6566242575645447	0	0	1	1	0	1
1242	ekspedition	1	2	0.4230005145072937	0	0	2	0	0	1
1243	ekspedition	1	2.a	0.620408833026886	0	0	1	0	0	1
1244	ekspedition	1	3	0.3100254535675049	0	0	1	0	0	1
1245	ekspedition	1.a	2	0.4797520637512207	0	0	3	0	0	1
1246	ekspedition	1.a	2.a	0.6517984569072723	1	0	0	0	0	1
1247	ekspedition	1.a	3	0.43995606899261475	0	0	0	0	0	1
1248	ekspedition	2	2.a	0.4531599283218384	0	0	3	1	0	1
1249	ekspedition	2	3	0.17043006420135498	0	0	3	0	0	1
1250	ekspedition	2.a	3	0.4229322671890259	0	0	0	0	0	1
1251	ekspert	1	1.a	0	2	0	7	1	0	0
1252	eksplosion	1	1.a	0.15694576501846313	0	0	3	1	0	0
1253	eksplosion	1	1.b	0.2830394506454468	0	0	2	1	1	1
1254	eksplosion	1	1.c	0.31132394075393677	0	0	3	1	1	1
1255	eksplosion	1.a	1.b	0.3486413359642029	0	0	1	1	1	1
1256	eksplosion	1.a	1.c	0.32693201303482056	0	0	0	1	1	1
1257	eksplosion	1.b	1.c	0.4672050476074219	0	0	1	1	2	1
1258	eksportere	1	1.a	0.2980272173881531	0	0	3	1	1	1
1259	eksportere	1	1.b	0.2394198179244995	0	0	3	1	1	1
1260	eksportere	1.a	1.b	0.19298607110977173	0	0	0	1	2	0
1261	ekstraordinær	1	1.a	0.2412511110305786	0	0	3	1	0	1
1262	elegant	1	1.a	0.13613837957382202	0	0	3	1	0	1
1263	elegant	1	1.b	0.15035474300384521	0	0	5	1	0	1
1264	elegant	1.a	1.b	0.02174830436706543	0	0	2	1	0	0
1265	elektricitet	1	1.a	0.46363919973373413	0	0	8	1	1	1
1266	elektronik	1	1.a	0.14141994714736938	0	0	2	1	0	1
1267	elektronisk	1	1.a	0	0	0	8	1	0	0
1268	elektronisk	1	1.b	0	0	0	1	1	0	0
1269	elektronisk	1.a	1.b	0	0	0	7	1	0	0
1270	element	1	2	0.2789122462272644	1	0	5	0	0	1
1271	element	1	3	0.34649890661239624	0	0	3	0	0	1
1272	element	2	3	0.04964810609817505	1	0	2	0	0	1
1273	elev	1	1.a	0	2	0	12	1	0	0
1274	elev	1	1.b	0	2	0	12	1	0	0
1275	elev	1.a	1.b	0	2	0	0	1	0	0
1276	elfenben	1	1.a	0.6494594514369965	0	0	1	1	0	0
1277	elfenben	1	2	0.6886021494865417	0	0	1	0	0	1
1278	elfenben	1.a	2	0.5129694938659668	0	0	0	0	0	1
1279	elske	1	2	0.4911072254180908	2	1	15	0	0	1
1280	elske	1	3	0.5451708137989044	1	0	26	0	0	1
1281	elske	2	3	0.4484028220176697	2	0	11	0	0	1
1282	elsker	1	1.a	0	2	0	8	1	0	1
1283	elsker	1	1.b	0	2	0	5	1	0	1
1284	elsker	1.a	1.b	0	2	0	3	1	0	0
1285	em	1	1.a	0.08539533615112305	0	0	0	1	0	0
1286	em	1	1.b	0.27445584535598755	0	0	0	1	1	1
1287	em	1.a	1.b	0.32614028453826904	0	0	0	1	1	1
1288	emne	1	2	0.28146326541900635	0	0	12	0	0	1
1289	endda	1	2	0.5615177154541016	0	0	2	0	0	1
